day,start_datetime,end_datetime,activity,calories,distance,intensity,label,source,id
"2025-01-22","2025-01-22T11:52:00-05:00","2025-01-22T12:02:00-05:00","walking","",328.22322613743444,"moderate","","confirmed","6e4d355b-2cb4-475f-9437-f27262fd896e"
"2025-01-22","2025-01-22T13:06:00-05:00","2025-01-22T13:19:00-05:00","walking","",852.8757866993552,"moderate","","confirmed","f42cdc1c-c79a-42af-aad7-dfadb84d132c"
"2025-01-22","2025-01-22T13:48:00-05:00","2025-01-22T14:06:00-05:00","walking","",289.22033159423506,"moderate","","confirmed","ca543315-5416-454f-bdcf-78dc278fc347"
"2025-01-22","2025-01-22T18:34:00-05:00","2025-01-22T19:45:00-05:00","strengthTraining",267.812,325.5598130296847,"moderate","","confirmed","714e5176-a875-4fcd-a107-fde4e53e902d"
"2025-01-22","2025-01-22T19:47:00-05:00","2025-01-22T19:59:00-05:00","walking","",401.7385676210426,"moderate","","confirmed","8aa4a2d3-8ea9-4e54-a9d7-c487f265bb2e"
"2025-01-24","2025-01-24T09:42:00-05:00","2025-01-24T10:09:00-05:00","walking","",781.1141356712634,"moderate","","confirmed","a52d0174-55a8-4173-8c45-35a25a7c5113"
"2025-01-24","2025-01-24T11:17:00-05:00","2025-01-24T11:35:00-05:00","walking","",807.762365930148,"moderate","","confirmed","3b728609-6610-432f-94fe-8534ae53e576"
"2025-01-24","2025-01-24T13:50:00-05:00","2025-01-24T14:07:00-05:00","walking","",819.9339151615923,"moderate","","confirmed","56b67593-e9c3-40cb-9a94-41fd11a41e91"
"2025-01-24","2025-01-24T17:08:00-05:00","2025-01-24T17:25:00-05:00","walking","",1039.6686819983804,"moderate","","confirmed","2472db6c-9d8a-4a8a-a1ad-aa3773c21dea"
"2025-01-24","2025-01-24T21:38:00-05:00","2025-01-24T21:52:00-05:00","walking","",742.8125669978817,"moderate","","confirmed","2f6dc844-77c7-4350-95ff-6ac419e62525"
"2025-01-24","2025-01-24T22:37:00-05:00","2025-01-24T22:52:00-05:00","walking","",1283.65243851389,"moderate","","confirmed","1b9b300c-bffa-4d49-951c-d7c7f6f63ea4"
"2025-01-27","2025-01-27T11:46:00-05:00","2025-01-27T12:06:00-05:00","walking","",726.0631008782433,"moderate","","confirmed","06c56060-c34f-4cfa-91d5-624408811c41"
"2025-01-27","2025-01-27T14:57:00-05:00","2025-01-27T15:07:00-05:00","walking","",662.1909852782832,"moderate","","confirmed","e485ffdf-5016-4523-a2be-519993ba1ac0"
"2025-01-27","2025-01-27T17:31:00-05:00","2025-01-27T17:46:00-05:00","walking","",391.6065894724617,"moderate","","confirmed","87cb63ba-9242-49dd-8b8a-5fc366d4dfb6"
